prerequisite_avg,prerequisite_min,previous_accuracy,recent_incorrect,learning_velocity,recent_confusion_count,time_gap_hours,revision_completion,concept_difficulty,will_struggle,dataset_type
0.5293,0.3746,0.6599,1,0.2144,0,1.23,0.7933,77.53,0,SYNTHETIC
0.8993,0.703,0.8214,3,-0.1343,2,1.25,0.8315,42.59,0,SYNTHETIC
0.6133,0.4592,0.6967,1,-0.1115,1,1.34,0.2872,38.93,1,SYNTHETIC
0.49,0.4578,0.6854,1,0.2898,3,6.98,0.4539,64.94,0,SYNTHETIC
0.7141,0.6754,0.4091,1,0.1785,0,6.73,0.6534,44.36,0,SYNTHETIC
0.5385,0.3819,0.7233,2,-0.1121,1,2.64,0.6788,7.46,0,SYNTHETIC
0.5995,0.578,0.1652,3,-0.029,2,4.83,0.7691,60.35,1,SYNTHETIC
0.8591,0.7211,0.6442,1,0.238,1,17.28,0.4056,37.36,1,SYNTHETIC
0.3834,0.228,0.6652,1,-0.1078,1,1.32,0.5709,42.2,1,SYNTHETIC
0.7175,0.6987,0.4531,2,-0.1989,2,22.46,0.8588,34.77,0,SYNTHETIC
0.4838,0.3859,0.4005,8,-0.1069,2,1.03,0.626,51.3,0,SYNTHETIC
0.5845,0.4706,0.9212,2,0.0536,2,2.0,0.5527,83.55,1,SYNTHETIC
0.457,0.2548,0.7198,1,0.2535,3,52.75,0.7962,25.11,0,SYNTHETIC
0.5503,0.4881,0.7161,1,0.0364,2,8.44,0.8067,63.03,0,SYNTHETIC
0.9342,0.7453,0.9164,0,-0.1042,0,29.06,0.8615,35.82,0,SYNTHETIC
0.3702,0.1509,0.5266,1,0.1318,1,4.41,0.2939,38.98,0,SYNTHETIC
0.5573,0.3733,0.4477,3,0.1964,3,6.52,0.733,54.17,0,SYNTHETIC
0.5961,0.4078,0.5942,0,0.2474,0,2.51,0.7178,77.13,0,SYNTHETIC
0.6834,0.4837,0.4676,0,0.0949,1,8.78,0.6083,34.36,0,SYNTHETIC
0.6449,0.5724,0.5766,4,0.2837,1,1.79,0.9419,50.59,0,SYNTHETIC
0.6956,0.6594,0.3365,1,-0.0327,3,15.26,0.5742,76.65,1,SYNTHETIC
0.2479,0.0995,0.545,2,0.2274,2,6.99,0.8404,62.79,0,SYNTHETIC
0.6032,0.5456,0.1646,4,-0.0711,1,6.96,0.8681,34.5,1,SYNTHETIC
0.8921,0.874,0.3727,5,-0.3114,2,7.17,0.9268,56.63,0,SYNTHETIC
0.7975,0.716,0.8079,1,0.0345,1,0.34,0.6932,48.91,1,SYNTHETIC
0.5521,0.3754,0.5653,5,0.0233,0,14.0,0.2062,58.63,1,SYNTHETIC
0.6044,0.3848,0.32,2,-0.0711,3,4.36,0.4967,40.74,1,SYNTHETIC
0.2937,0.1709,0.5695,2,0.1682,1,4.84,0.5193,49.46,1,SYNTHETIC
0.6074,0.4713,0.7366,1,0.065,1,35.71,0.4893,45.64,1,SYNTHETIC
0.3767,0.227,0.4019,8,0.2498,1,0.86,0.7917,46.64,1,SYNTHETIC
0.3,0.2206,0.7238,0,0.0552,4,36.88,0.7,43.42,1,SYNTHETIC
0.5757,0.4331,0.7033,2,-0.058,1,60.33,0.7626,59.7,1,SYNTHETIC
0.8149,0.6293,0.5915,4,0.1258,1,2.14,0.7656,37.94,0,SYNTHETIC
0.4499,0.3739,0.6588,1,0.16,2,0.32,0.5365,60.37,1,SYNTHETIC
0.2617,0.1508,0.5857,2,-0.1847,3,43.48,0.6569,26.14,1,SYNTHETIC
0.5929,0.4542,0.66,0,0.0949,2,1.5,0.6417,82.44,0,SYNTHETIC
0.7615,0.6951,0.278,5,0.3267,2,1.24,0.6039,69.1,0,SYNTHETIC
0.4345,0.3994,0.2467,2,0.1476,1,5.17,0.8978,69.79,1,SYNTHETIC
0.3788,0.1883,0.6826,2,-0.1668,1,10.07,0.9298,28.3,0,SYNTHETIC
0.2266,0.1239,0.5703,2,0.1116,3,41.47,0.7279,38.86,1,SYNTHETIC
0.5546,0.3366,0.6495,2,0.2473,0,3.82,0.9299,69.24,0,SYNTHETIC
0.5735,0.3757,0.4691,2,0.0362,3,9.82,0.5803,20.25,0,SYNTHETIC
0.7586,0.7022,0.7785,1,0.1118,1,19.1,0.6167,31.26,0,SYNTHETIC
0.7055,0.4842,0.8121,0,0.2455,4,17.29,0.6678,87.61,1,SYNTHETIC
0.6326,0.3867,0.6558,1,0.0131,4,6.61,0.8197,74.55,0,SYNTHETIC
0.6578,0.4661,0.6401,0,0.1142,1,3.01,0.4693,41.15,0,SYNTHETIC
0.5707,0.4149,0.6893,1,0.0032,2,1.86,0.7649,32.44,1,SYNTHETIC
0.5594,0.4617,0.4252,5,-0.0141,3,24.7,0.4886,18.11,1,SYNTHETIC
0.4847,0.2674,0.982,0,0.1538,3,7.92,0.6206,84.18,0,SYNTHETIC
0.7113,0.5331,0.6566,2,0.2638,0,3.64,0.9031,61.6,0,SYNTHETIC
0.7368,0.6681,0.6645,0,-0.0849,3,6.09,0.3737,26.46,1,SYNTHETIC
0.5484,0.3639,0.3727,5,-0.0325,2,1.61,0.4253,58.81,1,SYNTHETIC
0.657,0.4884,0.7161,2,0.0687,2,5.38,0.7873,69.55,0,SYNTHETIC
0.595,0.4755,0.9499,0,-0.2643,1,3.88,0.5089,38.72,0,SYNTHETIC
0.7193,0.5157,0.9074,0,0.1323,1,11.33,0.7899,37.18,0,SYNTHETIC
0.7288,0.6783,0.1785,5,-0.0336,2,8.33,0.4683,66.78,0,SYNTHETIC
0.7247,0.5737,0.6693,5,0.0539,4,18.73,0.7147,35.35,0,SYNTHETIC
0.4225,0.231,0.4513,4,0.119,1,32.45,0.5089,49.1,1,SYNTHETIC
0.6521,0.4804,0.3292,6,-0.0517,1,45.95,0.6634,5.95,0,SYNTHETIC
0.7741,0.639,0.4663,2,0.1464,2,8.22,0.6183,48.03,1,SYNTHETIC
0.7983,0.6654,0.7654,0,-0.1921,2,12.91,0.3942,46.75,1,SYNTHETIC
0.6529,0.5483,0.7165,0,0.0621,2,1.33,0.355,26.08,0,SYNTHETIC
0.6214,0.4229,0.5716,2,0.2171,0,11.47,0.8982,28.12,0,SYNTHETIC
0.8593,0.6471,0.7009,4,0.0193,6,16.15,0.1591,81.35,1,SYNTHETIC
0.5864,0.527,0.7814,1,0.0386,2,14.69,0.7956,36.13,0,SYNTHETIC
0.6225,0.4352,0.5957,1,0.1239,3,13.22,0.602,55.27,0,SYNTHETIC
0.3171,0.0897,0.7191,3,-0.0622,3,11.44,0.453,26.32,1,SYNTHETIC
0.3928,0.3113,0.7009,0,0.0896,1,1.07,0.6637,42.38,0,SYNTHETIC
0.4599,0.2411,0.5466,2,0.0722,2,79.37,0.6853,18.52,0,SYNTHETIC
0.6192,0.5222,0.3967,1,0.0796,0,6.03,0.2777,54.28,1,SYNTHETIC
0.364,0.1648,0.5935,1,0.1751,2,0.87,0.2171,63.21,0,SYNTHETIC
0.3388,0.2537,0.4877,2,0.0419,1,7.3,0.5558,11.39,0,SYNTHETIC
0.6727,0.6542,0.8138,1,-0.0559,2,25.1,0.7599,58.62,0,SYNTHETIC
0.6509,0.6231,0.8406,2,0.1324,0,17.23,0.6069,75.47,1,SYNTHETIC
0.5969,0.3744,0.4769,0,0.0692,3,6.27,0.0923,25.66,0,SYNTHETIC
0.5185,0.364,0.4728,1,0.0845,2,11.72,0.9722,77.15,1,SYNTHETIC
0.5979,0.5333,0.7797,4,-0.1046,0,0.84,0.6072,41.92,0,SYNTHETIC
0.6049,0.4669,0.7709,3,0.0975,2,1.69,0.3493,37.44,1,SYNTHETIC
0.721,0.6586,0.6278,0,-0.0931,1,4.62,0.7416,8.33,0,SYNTHETIC
0.3981,0.3636,0.8695,1,-0.2961,2,5.92,0.5357,71.31,0,SYNTHETIC
0.4483,0.3568,0.311,6,0.134,1,12.89,0.3426,40.08,0,SYNTHETIC
0.4334,0.374,0.8427,0,0.0541,1,22.28,0.659,74.68,0,SYNTHETIC
0.698,0.6058,0.3645,6,-0.0808,1,6.95,0.6126,20.64,0,SYNTHETIC
0.3962,0.1751,0.8564,0,0.2694,1,25.57,0.7656,53.89,0,SYNTHETIC
0.3608,0.3407,0.5702,4,0.0591,1,17.99,0.5829,56.38,0,SYNTHETIC
0.6601,0.655,0.5499,0,0.1101,1,20.81,0.5454,43.11,0,SYNTHETIC
0.5523,0.5433,0.8317,0,0.1933,3,19.85,0.4795,22.52,1,SYNTHETIC
0.3918,0.3531,0.8817,0,-0.1558,2,0.04,0.4407,63.85,0,SYNTHETIC
0.8115,0.678,0.709,1,-0.2107,1,20.32,0.4273,42.68,0,SYNTHETIC
0.7026,0.5627,0.6612,0,0.0821,1,13.75,0.6027,36.51,0,SYNTHETIC
0.7404,0.5489,0.8047,0,0.0173,2,20.37,0.4747,70.43,0,SYNTHETIC
0.7715,0.7302,0.5866,2,0.0416,2,3.59,0.1855,81.74,1,SYNTHETIC
0.5019,0.3159,0.5578,4,0.1831,2,9.56,0.7282,37.04,0,SYNTHETIC
0.3965,0.193,0.4135,2,0.0241,3,13.43,0.7691,27.54,0,SYNTHETIC
0.7479,0.5008,0.4365,2,-0.1289,1,2.07,0.4563,57.26,0,SYNTHETIC
0.4876,0.2568,0.6968,2,0.2979,1,0.16,0.549,33.28,0,SYNTHETIC
0.3821,0.2705,0.3579,6,-0.0064,1,17.34,0.5654,58.74,0,SYNTHETIC
0.8658,0.6486,0.4477,4,0.1761,1,10.01,0.7242,88.15,0,SYNTHETIC
0.5079,0.2604,0.5267,3,0.1938,1,28.49,0.3253,50.86,0,SYNTHETIC
0.5889,0.5247,0.3526,3,-0.0079,2,15.85,0.76,54.86,1,SYNTHETIC
0.1702,0.0698,0.4846,5,0.0455,3,7.69,0.8904,58.83,1,SYNTHETIC
0.4409,0.2497,0.4179,1,0.1619,1,3.16,0.3594,76.65,1,SYNTHETIC
0.5184,0.2774,0.5526,4,0.1632,0,24.74,0.8353,44.18,0,SYNTHETIC
0.3551,0.3403,0.6021,4,0.0355,1,1.6,0.6001,31.32,0,SYNTHETIC
0.9071,0.8888,0.7865,4,0.0694,2,24.36,0.7076,30.79,1,SYNTHETIC
0.7033,0.6115,0.7278,1,0.2672,2,30.1,0.7289,69.62,0,SYNTHETIC
0.624,0.5673,0.2244,4,0.004,1,5.47,0.2665,58.2,0,SYNTHETIC
0.1639,0.1301,0.7176,0,0.3496,1,2.95,0.6683,73.33,0,SYNTHETIC
0.4235,0.3164,0.7083,2,-0.002,0,13.84,0.6447,71.26,1,SYNTHETIC
0.7001,0.4643,0.7452,0,-0.0061,2,70.92,0.7896,60.85,0,SYNTHETIC
0.4264,0.2327,0.2693,6,0.0051,2,4.54,0.6155,76.65,0,SYNTHETIC
0.6203,0.4987,0.5351,6,0.0874,2,14.81,0.6619,54.96,0,SYNTHETIC
0.7149,0.5376,0.5099,5,0.1409,1,2.87,0.7222,44.0,1,SYNTHETIC
0.4628,0.4227,0.5929,1,0.0979,4,18.3,0.5763,25.32,0,SYNTHETIC
0.6231,0.474,0.6769,1,0.073,1,37.53,0.8518,31.92,0,SYNTHETIC
0.5729,0.386,0.6205,2,0.0068,2,2.92,0.7145,54.92,0,SYNTHETIC
0.6756,0.4471,0.4653,0,-0.0389,1,0.37,0.3788,16.98,0,SYNTHETIC
0.232,0.0,0.4134,3,-0.2895,0,40.31,0.2455,30.5,0,SYNTHETIC
0.888,0.8421,0.4307,6,0.004,1,28.41,0.3401,55.31,0,SYNTHETIC
0.6843,0.6251,0.5489,2,0.125,3,2.33,0.4446,60.39,1,SYNTHETIC
0.899,0.8604,0.6887,2,-0.2391,0,1.42,0.7887,20.44,1,SYNTHETIC
0.3795,0.2627,0.7253,2,0.1829,0,2.73,0.2355,34.26,1,SYNTHETIC
0.8195,0.7327,0.3662,4,0.1771,1,12.12,0.4651,61.31,1,SYNTHETIC
0.7969,0.5725,0.2409,4,0.238,0,0.67,0.74,67.14,0,SYNTHETIC
0.3,0.258,0.2544,3,0.1942,1,12.21,0.9113,70.01,0,SYNTHETIC
0.4484,0.3905,0.837,1,0.0305,2,6.58,0.6844,30.32,0,SYNTHETIC
0.7051,0.4869,0.4701,3,-0.0802,2,32.09,0.8468,27.15,0,SYNTHETIC
0.5984,0.4785,0.6292,1,0.2363,0,31.68,0.6326,48.3,1,SYNTHETIC
0.6577,0.4816,0.7043,6,-0.1071,1,17.21,0.6766,47.49,1,SYNTHETIC
0.4249,0.1936,0.5863,5,0.1353,2,17.82,0.7328,57.28,1,SYNTHETIC
0.326,0.2599,0.645,3,0.3653,1,11.72,0.9326,56.14,0,SYNTHETIC
0.7549,0.6729,0.3843,1,-0.098,2,0.84,0.833,73.35,0,SYNTHETIC
0.4873,0.3468,0.6088,0,0.1784,0,6.36,0.4518,49.34,0,SYNTHETIC
0.1798,0.1611,0.7491,2,-0.1293,1,14.36,0.6185,43.6,0,SYNTHETIC
0.6878,0.4882,0.5429,3,-0.0486,2,2.83,0.9222,58.22,0,SYNTHETIC
0.3216,0.28,0.721,2,-0.0071,2,12.12,0.5289,81.38,0,SYNTHETIC
0.6231,0.3887,0.5614,4,0.1849,2,26.93,0.9551,15.99,1,SYNTHETIC
0.351,0.2411,0.6206,2,0.2235,1,13.86,0.6187,49.78,1,SYNTHETIC
0.5512,0.441,0.5398,5,-0.0,1,4.42,0.742,53.47,0,SYNTHETIC
0.5428,0.4622,0.9361,0,0.1398,1,7.87,0.4248,36.08,0,SYNTHETIC
0.8401,0.8197,0.6638,3,0.0866,0,5.58,0.668,33.32,0,SYNTHETIC
0.3335,0.2792,0.6432,3,0.0064,2,1.85,0.8703,80.3,0,SYNTHETIC
0.5321,0.4828,0.3911,5,-0.1514,3,27.75,0.7239,29.96,1,SYNTHETIC
0.6064,0.4854,0.6542,1,0.33,0,6.19,0.7668,72.34,0,SYNTHETIC
0.4112,0.2596,0.6398,0,0.1548,1,8.42,0.6469,44.37,0,SYNTHETIC
0.3807,0.1948,0.5648,3,-0.1561,0,1.9,0.4978,11.5,0,SYNTHETIC
0.4855,0.2657,0.6011,2,-0.2014,1,12.23,0.5425,77.89,0,SYNTHETIC
0.5164,0.5075,0.5777,3,0.0795,0,9.17,0.709,16.44,0,SYNTHETIC
0.4273,0.3388,0.5708,1,-0.0689,1,5.34,0.6041,28.29,1,SYNTHETIC
0.4741,0.2834,0.6959,0,0.2502,0,3.28,0.5119,35.02,0,SYNTHETIC
0.7184,0.6011,0.7863,1,0.1496,1,0.98,0.7525,41.01,0,SYNTHETIC
0.5808,0.4774,0.3242,2,-0.1795,2,6.57,0.8698,28.11,0,SYNTHETIC
0.4361,0.3983,0.6766,1,0.0314,1,20.31,0.602,38.07,0,SYNTHETIC
0.4252,0.2312,0.4398,1,0.004,0,1.17,0.5307,82.06,0,SYNTHETIC
0.5672,0.4148,0.723,1,0.2355,2,53.35,0.7734,46.49,0,SYNTHETIC
0.9502,0.9079,0.5065,5,0.0862,2,16.73,0.7662,59.3,0,SYNTHETIC
0.8324,0.682,0.7153,0,0.3693,3,5.3,0.3569,39.92,0,SYNTHETIC
0.8839,0.641,0.5039,2,0.1589,0,0.51,0.6266,70.5,0,SYNTHETIC
0.182,0.1316,0.5077,2,-0.0007,1,18.31,0.6371,10.73,0,SYNTHETIC
0.6977,0.5792,0.3638,4,-0.2518,2,5.48,0.4725,48.19,1,SYNTHETIC
0.5092,0.2717,0.5775,3,0.0197,0,7.57,0.8323,48.24,0,SYNTHETIC
0.3151,0.2615,0.7009,1,0.0863,1,11.93,0.5524,48.5,0,SYNTHETIC
0.5363,0.505,0.7714,1,0.1038,3,17.56,0.3327,59.66,0,SYNTHETIC
0.5152,0.323,0.5079,4,0.4694,5,16.11,0.4578,45.5,0,SYNTHETIC
0.7158,0.5079,0.7856,0,0.1644,1,3.58,0.9876,38.69,0,SYNTHETIC
0.4343,0.3138,0.3762,5,0.1522,2,45.91,0.7812,11.66,1,SYNTHETIC
0.7738,0.6168,0.5166,8,0.1465,3,9.66,0.4126,30.66,1,SYNTHETIC
0.5495,0.3569,0.5598,2,0.1763,2,1.06,0.7512,34.27,0,SYNTHETIC
0.6431,0.4752,0.5412,3,0.0288,0,4.75,0.7563,83.94,1,SYNTHETIC
0.8824,0.8103,0.7687,3,0.0639,1,14.42,0.6152,77.61,0,SYNTHETIC
0.5424,0.4123,0.5225,2,0.1542,3,21.74,0.7725,45.65,0,SYNTHETIC
0.5059,0.4221,0.4017,1,0.0799,2,2.41,0.8168,23.66,1,SYNTHETIC
0.7711,0.6787,0.4042,2,0.1525,1,8.07,0.3929,23.27,0,SYNTHETIC
0.3816,0.2796,0.908,0,0.1955,1,7.96,0.7857,37.25,0,SYNTHETIC
0.1983,0.1926,0.4529,1,0.1194,0,4.6,0.3659,62.82,0,SYNTHETIC
0.5103,0.4399,0.2093,5,0.1947,3,1.38,0.656,51.06,1,SYNTHETIC
0.3971,0.3909,0.6047,1,0.1802,4,0.87,0.505,27.95,1,SYNTHETIC
0.5798,0.5391,0.5749,1,0.3883,2,13.23,0.4415,41.98,1,SYNTHETIC
0.5993,0.5818,0.6512,2,0.0833,1,17.51,0.1678,63.01,1,SYNTHETIC
0.5562,0.4229,0.4061,1,0.0137,2,32.31,0.3627,21.49,0,SYNTHETIC
0.4772,0.4094,0.7799,0,-0.0981,1,9.2,0.651,61.54,0,SYNTHETIC
0.5375,0.296,0.5491,2,-0.0778,1,1.9,0.4516,72.66,0,SYNTHETIC
0.3821,0.2316,0.6146,1,-0.1548,1,3.83,0.1072,37.58,1,SYNTHETIC
0.7378,0.6106,0.2637,2,0.3528,4,5.42,0.3953,48.98,0,SYNTHETIC
0.6915,0.6201,0.5823,2,0.3514,0,20.56,0.3086,16.16,0,SYNTHETIC
0.5493,0.4196,0.4255,4,0.0755,1,7.71,0.7231,82.88,0,SYNTHETIC
0.3397,0.1923,0.496,3,0.036,0,17.13,0.2776,67.45,0,SYNTHETIC
0.5765,0.4118,0.4113,1,0.2311,3,3.57,0.3016,64.31,1,SYNTHETIC
0.4128,0.2969,0.4864,1,0.0548,1,11.37,0.794,31.55,0,SYNTHETIC
0.527,0.3743,0.7533,1,0.1212,1,1.82,0.4258,44.7,1,SYNTHETIC
0.5829,0.4181,0.7646,1,0.0166,2,0.83,0.6299,66.07,0,SYNTHETIC
0.6449,0.4191,0.5117,1,0.0573,1,1.26,0.7133,71.27,1,SYNTHETIC
0.367,0.2884,0.4847,0,0.1743,1,28.42,0.6922,75.3,0,SYNTHETIC
0.2932,0.1848,0.4828,2,0.0451,1,4.7,0.7785,43.3,0,SYNTHETIC
0.2798,0.1456,0.5592,3,0.1917,0,21.77,0.4346,58.98,0,SYNTHETIC
0.6713,0.6127,0.3389,2,0.046,2,5.86,0.7627,32.56,0,SYNTHETIC
0.2918,0.2742,0.4805,1,-0.0809,3,19.4,0.7978,61.33,0,SYNTHETIC
0.5752,0.5313,0.4142,3,0.1283,0,21.55,0.3719,71.89,0,SYNTHETIC
0.7178,0.6253,0.55,1,-0.2992,0,17.0,0.4351,12.17,0,SYNTHETIC
0.1256,0.0063,0.4947,1,0.11,5,27.78,0.653,75.72,1,SYNTHETIC
0.5712,0.5264,0.5791,2,0.2223,1,4.92,0.5981,55.83,0,SYNTHETIC
0.407,0.1736,0.2693,2,0.2259,1,2.37,0.7302,86.29,1,SYNTHETIC
0.3651,0.1853,0.7491,1,0.0603,1,8.77,0.7159,48.34,0,SYNTHETIC
0.4066,0.3542,0.4775,1,0.0331,1,4.4,0.4496,85.03,1,SYNTHETIC
0.6143,0.4096,0.3991,7,0.1851,3,0.33,0.4346,39.03,0,SYNTHETIC
0.4063,0.308,0.3346,2,0.0505,1,24.59,0.2719,61.1,1,SYNTHETIC
0.5567,0.5145,0.7394,3,0.0099,0,0.77,0.559,79.62,0,SYNTHETIC
0.5299,0.489,0.975,0,0.1201,2,2.93,0.5388,65.22,0,SYNTHETIC
0.3268,0.2404,0.3775,7,-0.0081,4,6.86,0.8409,61.11,1,SYNTHETIC
0.5689,0.3899,0.4697,2,0.1767,0,37.85,0.6368,38.71,1,SYNTHETIC
0.3604,0.1596,0.4099,1,0.0189,1,10.38,0.378,24.2,1,SYNTHETIC
0.211,0.1807,0.7241,3,0.1121,1,7.38,0.6076,25.18,1,SYNTHETIC
0.7653,0.7192,0.3107,4,0.1329,2,23.41,0.346,80.91,0,SYNTHETIC
0.4608,0.3885,0.723,5,-0.0047,0,14.03,0.753,51.83,0,SYNTHETIC
0.9046,0.6622,0.4629,0,0.3171,1,8.96,0.4282,27.51,0,SYNTHETIC
0.2911,0.07,0.5228,2,0.0688,1,4.41,0.1504,41.06,1,SYNTHETIC
0.451,0.4375,0.353,3,-0.0808,0,25.04,0.4145,52.76,0,SYNTHETIC
0.3625,0.1952,0.4396,3,-0.0196,1,9.97,0.6052,9.95,0,SYNTHETIC
0.6597,0.419,0.4671,1,0.2172,0,38.69,0.9336,68.01,0,SYNTHETIC
0.577,0.4094,0.4335,2,-0.0584,0,11.66,0.5559,9.2,0,SYNTHETIC
0.668,0.6559,0.2781,3,-0.0294,1,40.33,0.6911,57.32,1,SYNTHETIC
0.616,0.5728,0.7453,1,0.2562,0,3.6,0.6333,62.77,1,SYNTHETIC
0.4043,0.2435,0.566,0,-0.1642,2,6.96,0.4747,78.35,1,SYNTHETIC
0.8208,0.6174,0.4135,2,0.124,1,39.79,0.8253,47.23,0,SYNTHETIC
0.5596,0.4414,0.51,3,0.0182,1,4.69,0.695,58.65,0,SYNTHETIC
0.5889,0.5034,0.581,1,0.1117,2,20.08,0.9543,64.08,0,SYNTHETIC
0.4883,0.3702,0.5455,1,0.2655,0,5.36,0.8324,29.28,0,SYNTHETIC
0.3545,0.2475,0.47,0,-0.0774,1,12.92,0.8508,43.79,0,SYNTHETIC
0.7825,0.6107,0.4078,3,-0.2122,2,2.36,0.7568,18.4,0,SYNTHETIC
0.5101,0.3065,0.2472,0,0.0946,0,13.48,0.671,52.7,0,SYNTHETIC
0.4603,0.3873,0.5623,1,0.0086,0,4.84,0.2287,62.41,0,SYNTHETIC
0.539,0.4555,0.5531,1,-0.1165,2,37.34,0.7288,26.79,0,SYNTHETIC
0.5761,0.3804,0.798,2,0.1147,1,3.37,0.454,58.9,1,SYNTHETIC
0.5788,0.3923,0.5003,5,0.2843,1,17.39,0.6857,50.75,0,SYNTHETIC
0.2759,0.1723,0.5726,0,-0.2018,1,5.73,0.5044,33.78,1,SYNTHETIC
0.4294,0.3545,0.858,2,0.2553,0,13.48,0.8545,7.62,0,SYNTHETIC
0.8267,0.7143,0.5655,1,0.0554,1,14.86,0.4279,59.15,1,SYNTHETIC
0.545,0.2973,0.7484,1,0.0842,2,6.39,0.8091,84.01,0,SYNTHETIC
0.4491,0.4181,0.5388,2,-0.1299,1,17.75,0.3102,25.22,1,SYNTHETIC
0.7355,0.7331,0.7169,5,0.0331,3,1.71,0.8755,71.71,0,SYNTHETIC
0.7183,0.6808,0.65,0,-0.0681,2,16.09,0.4248,16.79,1,SYNTHETIC
0.705,0.6587,0.5749,3,0.0989,3,16.56,0.8757,66.47,1,SYNTHETIC
0.6959,0.5205,0.4168,5,0.1507,1,11.75,0.7785,78.87,1,SYNTHETIC
0.8525,0.6795,0.2943,3,0.15,4,8.22,0.9397,31.75,0,SYNTHETIC
0.5259,0.4041,0.3714,2,0.0711,0,24.67,0.6002,34.07,1,SYNTHETIC
0.6266,0.4626,0.3573,4,0.1391,1,1.64,0.617,32.63,0,SYNTHETIC
0.8748,0.8281,0.502,1,0.1952,0,38.09,0.7395,30.4,1,SYNTHETIC
0.3211,0.1928,0.7463,3,0.4003,1,2.69,0.6532,73.9,0,SYNTHETIC
0.4124,0.2669,0.4239,3,-0.2111,0,18.69,0.5836,64.48,1,SYNTHETIC
0.3424,0.3012,0.4656,1,0.0128,2,9.24,0.9408,18.57,0,SYNTHETIC
0.724,0.5312,0.2569,5,0.2156,2,0.29,0.8583,39.94,0,SYNTHETIC
0.4059,0.3683,0.3013,6,0.3006,0,0.06,0.8042,64.41,0,SYNTHETIC
0.452,0.372,0.6018,0,0.3122,1,8.07,0.7828,57.51,0,SYNTHETIC
0.4072,0.3383,0.4797,2,-0.027,2,21.4,0.6106,15.52,0,SYNTHETIC
0.5158,0.4224,0.6502,3,0.1229,1,0.86,0.6143,35.23,0,SYNTHETIC
0.5097,0.4538,0.5149,3,-0.0611,1,9.18,0.2285,60.51,0,SYNTHETIC
0.4258,0.2726,0.6357,1,0.0646,4,3.19,0.3683,84.2,0,SYNTHETIC
0.6598,0.5929,0.5474,3,-0.0139,1,32.53,0.7985,35.53,0,SYNTHETIC
0.2299,0.1232,0.6238,0,0.0072,0,1.6,0.7036,57.16,0,SYNTHETIC
0.919,0.8973,0.4126,4,-0.0974,2,7.95,0.1466,25.79,1,SYNTHETIC
0.6099,0.4003,0.6157,1,-0.1977,2,3.9,0.6227,77.56,0,SYNTHETIC
0.5285,0.3939,0.6275,1,-0.1025,0,12.78,0.5184,47.05,1,SYNTHETIC
0.548,0.4681,0.4455,2,0.1668,1,25.34,0.4181,35.75,0,SYNTHETIC
0.8356,0.6307,0.8371,0,0.0721,0,1.6,0.7355,29.87,0,SYNTHETIC
0.3146,0.1819,0.5957,2,0.0646,1,16.2,0.8146,83.95,1,SYNTHETIC
0.5253,0.4978,0.5015,1,-0.0916,0,11.56,0.7606,55.13,0,SYNTHETIC
0.4455,0.4056,0.696,1,-0.3879,0,18.19,0.4571,43.37,0,SYNTHETIC
0.3531,0.194,0.4692,0,-0.0148,0,4.59,0.1921,49.87,0,SYNTHETIC
0.4385,0.3285,0.7893,2,0.0264,1,10.15,0.95,44.52,0,SYNTHETIC
0.5737,0.5119,0.3161,3,-0.1516,1,3.59,0.3966,29.54,1,SYNTHETIC
0.5701,0.4916,0.6287,0,0.0518,2,9.38,0.5413,61.72,0,SYNTHETIC
0.3677,0.192,0.6213,0,0.2757,2,3.24,0.9598,43.47,0,SYNTHETIC
0.2111,0.1817,0.5946,1,-0.1571,2,4.19,0.4069,41.3,1,SYNTHETIC
0.3239,0.0818,0.7658,0,-0.0112,2,11.2,0.3889,40.12,0,SYNTHETIC
0.6004,0.5846,0.4439,2,0.4099,4,0.86,0.7938,83.99,1,SYNTHETIC
0.5324,0.5209,0.8932,0,-0.1909,3,15.96,0.4779,54.83,0,SYNTHETIC
0.5347,0.4386,0.6239,3,0.059,1,3.45,0.3869,80.33,0,SYNTHETIC
0.6333,0.4447,0.5789,1,0.0079,2,28.11,0.6493,67.7,0,SYNTHETIC
0.7529,0.5607,0.6737,1,-0.3169,1,14.22,0.5276,34.93,0,SYNTHETIC
0.5045,0.4976,0.3446,9,0.3171,1,7.35,0.8467,23.88,1,SYNTHETIC
0.7839,0.722,0.5945,2,0.0381,1,1.27,0.7922,56.8,0,SYNTHETIC
0.4315,0.1894,0.7915,3,-0.0083,1,12.37,0.4284,60.8,0,SYNTHETIC
0.1803,0.0885,0.8567,1,0.0526,0,13.53,0.6087,64.15,1,SYNTHETIC
0.1881,0.0961,0.7522,0,0.4591,2,5.02,0.8337,22.28,1,SYNTHETIC
0.4443,0.3004,0.8934,0,0.0119,2,10.31,0.7201,77.66,1,SYNTHETIC
0.5586,0.4288,0.3022,4,0.0748,1,10.34,0.5432,60.08,0,SYNTHETIC
0.5533,0.3742,0.6396,0,0.0257,2,10.66,0.2644,72.63,0,SYNTHETIC
0.2865,0.1276,0.7174,1,0.121,3,14.07,0.3798,35.87,1,SYNTHETIC
0.48,0.309,0.835,0,0.1013,0,6.26,0.7799,67.49,0,SYNTHETIC
0.734,0.6222,0.5444,4,-0.0346,0,1.72,0.4721,69.46,1,SYNTHETIC
0.3115,0.299,0.8461,2,-0.0545,1,5.31,0.7402,32.18,0,SYNTHETIC
