avg_practice_accuracy,avg_confusion_frequency,session_frequency,revision_completion,tutor_usage,avg_mastery_progression,total_practice_attempts,dataset_type
0.4304,0.5711,1.98,0.2433,0.9004,0.0333,2,SYNTHETIC
0.0962,0.5044,3.64,0.0047,0.4728,0.0388,6,SYNTHETIC
0.2809,0.5798,2.47,0.159,0.7351,0.3139,7,SYNTHETIC
0.3448,0.6263,3.03,0.3813,0.7573,0.1142,14,SYNTHETIC
0.2897,0.6901,3.06,0.5466,0.7089,0.2834,9,SYNTHETIC
0.3017,0.4606,3.52,0.3402,1.0,0.1786,25,SYNTHETIC
0.299,0.4978,2.32,0.1818,0.7553,0.0752,20,SYNTHETIC
0.4265,0.4997,4.17,0.2967,0.589,0.3729,27,SYNTHETIC
0.2986,0.4807,4.22,0.3959,0.8783,0.1392,18,SYNTHETIC
0.3474,0.6392,1.36,0.2476,0.8908,0.3053,16,SYNTHETIC
0.3959,0.445,2.93,0.1789,0.3501,0.294,13,SYNTHETIC
0.2406,0.6308,3.54,0.3291,0.8752,0.4261,14,SYNTHETIC
0.128,0.4299,0.67,0.0,0.8599,0.3221,17,SYNTHETIC
0.3853,0.4723,0.5,0.2064,0.5085,0.1907,11,SYNTHETIC
0.3147,0.7122,1.69,0.2947,0.6899,0.1764,20,SYNTHETIC
0.3052,0.5121,1.16,0.2173,0.5144,0.2314,1,SYNTHETIC
0.131,0.4693,3.33,0.4404,0.8043,0.2293,14,SYNTHETIC
0.3447,0.6328,4.32,0.575,0.8683,0.2069,9,SYNTHETIC
0.2609,0.38,0.66,0.1726,0.3904,0.2438,22,SYNTHETIC
0.5027,0.7562,2.07,0.3739,0.675,0.0,6,SYNTHETIC
0.2134,0.3873,1.56,0.3005,0.8979,0.2632,7,SYNTHETIC
0.3177,0.517,2.33,0.1793,0.7443,0.1202,23,SYNTHETIC
0.1443,0.5089,4.71,0.2441,0.5454,0.369,5,SYNTHETIC
0.3722,0.5126,1.86,0.4052,0.504,0.1889,18,SYNTHETIC
0.3755,0.4642,1.53,0.3903,0.6297,0.2478,16,SYNTHETIC
0.1316,0.6698,2.3,0.3646,0.6791,0.2023,20,SYNTHETIC
0.4127,0.6355,1.37,0.0463,0.7383,0.27,2,SYNTHETIC
0.1308,0.3817,1.53,0.2057,0.6883,0.3022,18,SYNTHETIC
0.2713,0.441,1.49,0.237,0.555,0.1724,14,SYNTHETIC
0.2836,0.5875,2.03,0.1944,0.746,0.0,6,SYNTHETIC
0.2761,0.7823,1.5,0.1995,0.5391,0.1688,12,SYNTHETIC
0.3468,0.4969,2.82,0.4279,0.4302,0.2432,11,SYNTHETIC
0.2365,0.4994,4.49,0.184,0.7233,0.2166,10,SYNTHETIC
0.417,0.7251,1.5,0.222,0.4742,0.1377,6,SYNTHETIC
0.1791,0.7041,1.69,0.2637,0.8619,0.232,5,SYNTHETIC
0.2642,0.6035,1.71,0.0476,0.4557,0.1998,17,SYNTHETIC
0.1858,0.82,2.97,0.2089,0.9413,0.3309,10,SYNTHETIC
0.4608,0.6121,2.3,0.1963,0.9215,0.2765,17,SYNTHETIC
0.3199,0.4426,3.55,0.3008,0.719,0.1401,24,SYNTHETIC
0.3679,0.5544,1.57,0.3137,0.7339,0.1328,8,SYNTHETIC
0.264,0.6415,4.45,0.5305,0.5656,0.2995,15,SYNTHETIC
0.1783,0.6703,4.98,0.4921,0.6869,0.1286,15,SYNTHETIC
0.1395,0.6293,1.76,0.2026,0.5982,0.1707,1,SYNTHETIC
0.4232,0.555,2.21,0.4028,0.8582,0.3282,18,SYNTHETIC
0.2646,0.7175,1.68,0.1653,0.4739,0.0305,7,SYNTHETIC
0.1931,0.5127,1.83,0.2411,0.7917,0.2721,8,SYNTHETIC
0.2956,0.6764,1.83,0.3632,0.8349,0.4976,18,SYNTHETIC
0.3514,0.3792,2.67,0.3133,0.7683,0.1721,8,SYNTHETIC
0.3237,0.5283,3.16,0.2495,0.6182,0.2572,12,SYNTHETIC
0.6292,0.2049,4.42,0.5285,0.485,0.4168,15,SYNTHETIC
0.6015,0.0707,5.37,0.4632,0.4195,0.9207,22,SYNTHETIC
0.6205,0.2381,4.51,0.7322,0.4889,0.2545,8,SYNTHETIC
0.2012,0.5072,3.29,0.4774,0.1709,0.583,33,SYNTHETIC
0.5201,0.3121,0.5,0.5618,0.6418,0.3337,23,SYNTHETIC
0.345,0.0945,6.38,0.322,0.0265,0.2564,24,SYNTHETIC
0.231,0.1261,2.16,0.3592,0.3982,0.137,6,SYNTHETIC
0.2906,0.6186,3.51,0.127,0.024,0.1256,20,SYNTHETIC
0.3775,0.4618,0.5,0.4195,0.4895,0.6894,19,SYNTHETIC
0.9688,0.4418,4.01,0.0431,0.4261,0.3514,15,SYNTHETIC
0.5913,0.2803,2.52,0.6084,0.2638,0.4729,1,SYNTHETIC
0.6573,0.2493,5.31,0.594,0.2818,0.5113,18,SYNTHETIC
0.3819,0.3282,3.45,0.6114,0.1134,0.3414,21,SYNTHETIC
0.2934,0.3195,4.4,0.6436,0.4503,0.6532,19,SYNTHETIC
0.2604,0.0,2.06,0.6501,0.1687,0.1386,14,SYNTHETIC
0.3831,0.4728,2.96,0.8402,0.0836,0.4361,16,SYNTHETIC
0.331,0.3065,2.9,0.3847,0.2896,0.5861,23,SYNTHETIC
0.4984,0.2152,4.52,0.4164,0.4728,0.3933,4,SYNTHETIC
0.6261,0.1061,7.26,0.71,0.4475,0.1946,32,SYNTHETIC
0.4654,0.118,0.5,0.8223,0.4179,0.2685,25,SYNTHETIC
0.4506,0.1043,5.4,0.6475,0.0,0.4414,17,SYNTHETIC
0.5528,0.3574,0.5,0.4905,0.1773,0.3341,24,SYNTHETIC
0.5147,0.3321,1.14,0.7972,0.1395,0.4992,10,SYNTHETIC
0.5024,0.2151,2.6,0.6512,0.4691,0.3112,19,SYNTHETIC
0.4347,0.2666,1.86,0.3794,0.3645,0.3474,10,SYNTHETIC
0.6297,0.1803,5.7,0.3379,0.5817,0.649,19,SYNTHETIC
0.6548,0.1252,4.37,0.6367,0.2681,0.4055,6,SYNTHETIC
0.2485,0.4317,0.5,0.3833,0.1416,0.5443,7,SYNTHETIC
0.2792,0.3907,2.07,0.8492,0.1532,0.622,3,SYNTHETIC
0.4309,0.2916,2.53,0.7913,0.3259,0.1867,20,SYNTHETIC
0.3056,0.3794,0.5,0.5384,0.1655,0.3506,18,SYNTHETIC
0.9236,0.1041,4.5,0.5306,0.2535,0.592,21,SYNTHETIC
0.5827,0.204,4.01,0.5172,0.0,0.1119,24,SYNTHETIC
0.7352,0.4782,3.36,0.6878,0.0151,0.0303,26,SYNTHETIC
0.4746,0.4963,4.25,0.3211,0.1607,0.576,24,SYNTHETIC
0.427,0.4404,1.02,0.7804,0.3977,0.1609,17,SYNTHETIC
0.1044,0.0929,0.5,0.6279,0.259,0.324,38,SYNTHETIC
0.6943,0.4168,3.88,0.2652,0.411,0.2009,25,SYNTHETIC
0.7013,0.3112,1.95,0.647,0.2413,0.2369,30,SYNTHETIC
0.6608,0.4666,1.99,0.6183,0.0063,0.5839,17,SYNTHETIC
0.2392,0.4731,4.8,0.4953,0.0513,0.2147,29,SYNTHETIC
0.3286,0.1926,1.57,0.8548,0.4419,0.3097,10,SYNTHETIC
0.4535,0.3164,4.98,0.2914,0.2049,0.4196,19,SYNTHETIC
0.4409,0.2775,4.28,0.2904,0.2842,0.2848,30,SYNTHETIC
0.6003,0.3362,2.63,0.0,0.4677,0.3679,11,SYNTHETIC
0.4985,0.2006,3.13,0.8039,0.616,0.3578,20,SYNTHETIC
0.596,0.3031,4.51,0.5403,0.4991,0.0,23,SYNTHETIC
0.5506,0.1147,3.42,0.6036,0.2049,0.3695,26,SYNTHETIC
0.2751,0.3104,6.38,0.3658,0.3322,0.6757,15,SYNTHETIC
0.494,0.3694,5.1,0.0079,0.1449,0.2872,20,SYNTHETIC
0.7843,0.06,1.99,0.4845,0.5279,0.6731,18,SYNTHETIC
0.5291,0.2372,3.82,0.7272,0.0,0.4236,33,SYNTHETIC
0.4182,0.6434,3.64,0.4727,0.2247,0.3812,7,SYNTHETIC
0.4262,0.1625,0.73,0.3886,0.1939,0.2153,24,SYNTHETIC
0.2017,0.3705,2.08,0.4647,0.3581,0.2895,14,SYNTHETIC
0.3467,0.2238,4.12,0.3358,0.0789,0.4586,10,SYNTHETIC
0.1601,0.2332,1.05,0.6463,0.1974,0.5518,25,SYNTHETIC
0.4727,0.2623,1.03,0.7765,0.5123,0.2543,4,SYNTHETIC
0.4588,0.1601,6.79,0.3285,0.1167,0.5616,3,SYNTHETIC
0.6721,0.4394,1.12,0.4393,0.0,0.3194,20,SYNTHETIC
0.4021,0.4642,0.76,0.3709,0.0688,0.2542,34,SYNTHETIC
0.2885,0.5494,4.17,0.535,0.3751,0.4444,12,SYNTHETIC
0.3898,0.1078,4.05,0.4553,0.294,0.0,18,SYNTHETIC
0.6495,0.3539,2.84,0.3776,0.1434,0.0,19,SYNTHETIC
0.4264,0.3805,1.35,0.8318,0.3861,0.7291,16,SYNTHETIC
0.5582,0.2573,4.68,0.4685,0.2934,0.3949,1,SYNTHETIC
0.7325,0.2203,3.85,0.1619,0.5771,0.467,17,SYNTHETIC
0.4501,0.1832,6.33,0.1957,0.423,0.7678,1,SYNTHETIC
0.941,0.2499,4.43,0.6608,0.5113,0.0,46,SYNTHETIC
0.891,0.233,0.59,0.3502,0.4204,0.6331,19,SYNTHETIC
0.7367,0.2457,0.5,1.0,0.1601,0.742,12,SYNTHETIC
0.607,0.1956,4.09,0.3252,0.4468,0.2418,10,SYNTHETIC
0.6367,0.2156,5.73,0.4865,0.0946,0.6679,29,SYNTHETIC
0.5517,0.3789,3.95,0.5799,0.2506,0.5732,1,SYNTHETIC
0.4934,0.0649,2.22,0.495,0.4658,0.3231,21,SYNTHETIC
0.3143,0.1926,5.42,0.4358,0.251,0.483,27,SYNTHETIC
0.467,0.2078,1.15,0.4236,0.5475,0.7413,12,SYNTHETIC
0.3966,0.5188,4.0,0.702,0.1156,0.1838,8,SYNTHETIC
0.2766,0.5806,2.64,0.6932,0.3756,0.3514,1,SYNTHETIC
0.5279,0.1041,2.74,0.4225,0.1341,0.3631,15,SYNTHETIC
0.184,0.2053,3.08,0.6504,0.2134,0.519,12,SYNTHETIC
0.4519,0.0998,2.85,0.4417,0.1447,0.6199,11,SYNTHETIC
0.6404,0.5811,3.47,0.6068,0.0,0.4048,15,SYNTHETIC
0.5383,0.3049,2.55,0.1774,0.3848,0.5499,1,SYNTHETIC
0.3822,0.4484,1.82,0.7001,0.4451,0.2545,8,SYNTHETIC
0.4999,0.3448,4.99,0.4779,0.0974,0.8055,19,SYNTHETIC
0.6211,0.1295,0.5,0.5582,0.5284,0.4974,21,SYNTHETIC
0.5163,0.2934,2.33,0.5295,0.0,0.506,20,SYNTHETIC
0.6899,0.1234,1.25,0.1703,0.076,0.5954,2,SYNTHETIC
0.879,0.2132,0.85,0.36,0.1112,0.2844,20,SYNTHETIC
0.3726,0.3341,4.96,0.6682,0.3427,0.5007,35,SYNTHETIC
0.396,0.4087,5.13,0.1498,0.1035,0.5546,15,SYNTHETIC
0.3428,0.4156,7.1,0.1771,0.3464,0.3413,16,SYNTHETIC
0.7682,0.2249,5.09,0.5313,0.3811,0.54,17,SYNTHETIC
0.3887,0.3859,4.38,0.7026,0.4669,0.2927,19,SYNTHETIC
0.6318,0.3497,4.52,0.3792,0.5553,0.8195,9,SYNTHETIC
0.4053,0.2376,4.31,0.4641,0.086,0.4019,8,SYNTHETIC
0.5673,0.5778,2.93,0.3377,0.4322,0.3161,10,SYNTHETIC
0.5098,0.6112,4.29,0.2806,0.3258,0.5938,26,SYNTHETIC
0.6522,0.4503,4.78,0.3365,0.2226,0.0,22,SYNTHETIC
