concept_baseline,signal_count,hour,is_anomaly,dataset_type
28.76,21.0,15,0,SYNTHETIC
28.76,26.0,16,0,SYNTHETIC
28.76,21.0,17,0,SYNTHETIC
28.76,122.0,18,1,SYNTHETIC
28.76,24.0,19,0,SYNTHETIC
28.76,37.0,20,0,SYNTHETIC
28.76,23.0,21,0,SYNTHETIC
28.76,15.0,22,0,SYNTHETIC
28.76,32.0,23,0,SYNTHETIC
32.81,37.0,0,0,SYNTHETIC
32.81,21.0,1,0,SYNTHETIC
32.81,40.0,2,0,SYNTHETIC
32.81,25.0,3,0,SYNTHETIC
32.81,49.0,4,0,SYNTHETIC
32.81,37.0,5,0,SYNTHETIC
32.81,12.0,6,0,SYNTHETIC
32.81,31.0,7,0,SYNTHETIC
32.81,28.0,8,0,SYNTHETIC
32.81,38.0,9,0,SYNTHETIC
32.81,83.0,10,1,SYNTHETIC
32.81,32.0,11,0,SYNTHETIC
32.81,38.0,12,0,SYNTHETIC
32.81,44.0,13,0,SYNTHETIC
32.81,38.0,14,0,SYNTHETIC
32.81,26.0,15,0,SYNTHETIC
32.81,56.0,16,0,SYNTHETIC
32.81,27.0,17,0,SYNTHETIC
32.81,22.0,18,0,SYNTHETIC
32.81,31.0,19,0,SYNTHETIC
32.81,27.0,20,0,SYNTHETIC
32.81,36.0,21,0,SYNTHETIC
32.81,26.0,22,0,SYNTHETIC
32.81,36.0,23,0,SYNTHETIC
23.24,26.0,0,0,SYNTHETIC
23.24,17.0,1,0,SYNTHETIC
23.24,35.0,2,0,SYNTHETIC
23.24,20.0,3,0,SYNTHETIC
23.24,18.0,4,0,SYNTHETIC
23.24,19.0,5,0,SYNTHETIC
23.24,90.0,6,1,SYNTHETIC
23.24,18.0,7,0,SYNTHETIC
23.24,18.0,8,0,SYNTHETIC
23.24,29.0,9,0,SYNTHETIC
23.24,24.0,10,0,SYNTHETIC
23.24,22.0,11,0,SYNTHETIC
23.24,14.0,12,0,SYNTHETIC
23.24,27.0,13,0,SYNTHETIC
23.24,26.0,14,0,SYNTHETIC
23.24,13.0,15,0,SYNTHETIC
23.24,23.0,16,0,SYNTHETIC
23.24,24.0,17,0,SYNTHETIC
23.24,18.0,18,0,SYNTHETIC
23.24,19.0,19,0,SYNTHETIC
23.24,21.0,20,0,SYNTHETIC
23.24,20.0,21,0,SYNTHETIC
23.24,29.0,22,0,SYNTHETIC
23.24,33.0,23,0,SYNTHETIC
11.8,13.0,0,0,SYNTHETIC
11.8,11.0,1,0,SYNTHETIC
11.8,9.0,2,0,SYNTHETIC
11.8,12.0,3,0,SYNTHETIC
11.8,13.0,4,0,SYNTHETIC
11.8,15.0,5,0,SYNTHETIC
11.8,11.0,6,0,SYNTHETIC
11.8,10.0,7,0,SYNTHETIC
11.8,6.0,8,0,SYNTHETIC
11.8,7.0,9,0,SYNTHETIC
11.8,15.0,10,0,SYNTHETIC
11.8,13.0,11,0,SYNTHETIC
11.8,14.0,12,0,SYNTHETIC
11.8,10.0,13,0,SYNTHETIC
11.8,9.0,14,0,SYNTHETIC
11.8,12.0,15,0,SYNTHETIC
11.8,6.0,16,0,SYNTHETIC
11.8,11.0,17,0,SYNTHETIC
11.8,9.0,18,0,SYNTHETIC
11.8,55.0,19,1,SYNTHETIC
11.8,14.0,20,0,SYNTHETIC
11.8,14.0,21,0,SYNTHETIC
11.8,16.0,22,0,SYNTHETIC
11.8,15.0,23,0,SYNTHETIC
39.17,48.0,0,0,SYNTHETIC
39.17,35.0,1,0,SYNTHETIC
39.17,46.0,2,0,SYNTHETIC
39.17,39.0,3,0,SYNTHETIC
39.17,39.0,4,0,SYNTHETIC
39.17,33.0,5,0,SYNTHETIC
39.17,56.0,6,0,SYNTHETIC
39.17,29.0,7,0,SYNTHETIC
39.17,41.0,8,0,SYNTHETIC
39.17,48.0,9,0,SYNTHETIC
39.17,55.0,10,0,SYNTHETIC
39.17,18.0,11,0,SYNTHETIC
39.17,43.0,12,0,SYNTHETIC
39.17,186.0,13,1,SYNTHETIC
39.17,37.0,14,0,SYNTHETIC
39.17,42.0,15,0,SYNTHETIC
39.17,31.0,16,0,SYNTHETIC
39.17,24.0,17,0,SYNTHETIC
39.17,40.0,18,0,SYNTHETIC
39.17,38.0,19,0,SYNTHETIC
39.17,45.0,20,0,SYNTHETIC
39.17,38.0,21,0,SYNTHETIC
39.17,28.0,22,0,SYNTHETIC
39.17,29.0,23,0,SYNTHETIC
16.65,21.0,0,0,SYNTHETIC
16.65,69.0,1,1,SYNTHETIC
16.65,19.0,2,0,SYNTHETIC
16.65,15.0,3,0,SYNTHETIC
16.65,51.0,4,1,SYNTHETIC
16.65,26.0,5,0,SYNTHETIC
16.65,16.0,6,0,SYNTHETIC
16.65,17.0,7,0,SYNTHETIC
16.65,16.0,8,0,SYNTHETIC
16.65,19.0,9,0,SYNTHETIC
16.65,15.0,10,0,SYNTHETIC
16.65,14.0,11,0,SYNTHETIC
16.65,18.0,12,0,SYNTHETIC
16.65,14.0,13,0,SYNTHETIC
16.65,8.0,14,0,SYNTHETIC
16.65,24.0,15,0,SYNTHETIC
16.65,19.0,16,0,SYNTHETIC
16.65,14.0,17,0,SYNTHETIC
16.65,15.0,18,0,SYNTHETIC
16.65,17.0,19,0,SYNTHETIC
16.65,12.0,20,0,SYNTHETIC
16.65,18.0,21,0,SYNTHETIC
16.65,15.0,22,0,SYNTHETIC
16.65,19.0,23,0,SYNTHETIC
39.95,26.0,0,0,SYNTHETIC
39.95,27.0,1,0,SYNTHETIC
39.95,35.0,2,0,SYNTHETIC
39.95,41.0,3,0,SYNTHETIC
39.95,33.0,4,0,SYNTHETIC
39.95,26.0,5,0,SYNTHETIC
39.95,46.0,6,0,SYNTHETIC
39.95,57.0,7,0,SYNTHETIC
39.95,43.0,8,0,SYNTHETIC
39.95,40.0,9,0,SYNTHETIC
39.95,58.0,10,0,SYNTHETIC
39.95,43.0,11,0,SYNTHETIC
39.95,44.0,12,0,SYNTHETIC
39.95,55.0,13,0,SYNTHETIC
39.95,22.0,14,0,SYNTHETIC
39.95,38.0,15,0,SYNTHETIC
39.95,35.0,16,0,SYNTHETIC
39.95,40.0,17,0,SYNTHETIC
39.95,147.0,18,1,SYNTHETIC
39.95,59.0,19,0,SYNTHETIC
39.95,56.0,20,0,SYNTHETIC
39.95,48.0,21,0,SYNTHETIC
39.95,35.0,22,0,SYNTHETIC
39.95,26.0,23,0,SYNTHETIC
27.72,19.0,0,0,SYNTHETIC
27.72,30.0,1,0,SYNTHETIC
27.72,31.0,2,0,SYNTHETIC
27.72,33.0,3,0,SYNTHETIC
27.72,38.0,4,0,SYNTHETIC
27.72,41.0,5,0,SYNTHETIC
27.72,28.0,6,0,SYNTHETIC
27.72,31.0,7,0,SYNTHETIC
27.72,32.0,8,0,SYNTHETIC
27.72,27.0,9,0,SYNTHETIC
27.72,25.0,10,0,SYNTHETIC
27.72,31.0,11,0,SYNTHETIC
27.72,26.0,12,0,SYNTHETIC
27.72,30.0,13,0,SYNTHETIC
27.72,25.0,14,0,SYNTHETIC
27.72,15.0,15,0,SYNTHETIC
27.72,122.0,16,1,SYNTHETIC
27.72,22.0,17,0,SYNTHETIC
27.72,26.0,18,0,SYNTHETIC
27.72,23.0,19,0,SYNTHETIC
27.72,12.0,20,0,SYNTHETIC
27.72,33.0,21,0,SYNTHETIC
27.72,28.0,22,0,SYNTHETIC
27.72,25.0,23,0,SYNTHETIC
18.86,28.0,0,0,SYNTHETIC
18.86,10.0,1,0,SYNTHETIC
18.86,13.0,2,0,SYNTHETIC
18.86,8.0,3,0,SYNTHETIC
18.86,16.0,4,0,SYNTHETIC
18.86,23.0,5,0,SYNTHETIC
18.86,20.0,6,0,SYNTHETIC
18.86,56.0,7,1,SYNTHETIC
18.86,19.0,8,0,SYNTHETIC
18.86,62.0,9,1,SYNTHETIC
18.86,26.0,10,0,SYNTHETIC
18.86,14.0,11,0,SYNTHETIC
18.86,17.0,12,0,SYNTHETIC
18.86,18.0,13,0,SYNTHETIC
18.86,24.0,14,0,SYNTHETIC
18.86,68.0,15,1,SYNTHETIC
18.86,17.0,16,0,SYNTHETIC
18.86,15.0,17,0,SYNTHETIC
18.86,13.0,18,0,SYNTHETIC
18.86,18.0,19,0,SYNTHETIC
18.86,75.0,20,1,SYNTHETIC
18.86,19.0,21,0,SYNTHETIC
18.86,26.0,22,0,SYNTHETIC
18.86,22.0,23,0,SYNTHETIC
20.65,18.0,0,0,SYNTHETIC
20.65,15.0,1,0,SYNTHETIC
20.65,22.0,2,0,SYNTHETIC
20.65,23.0,3,0,SYNTHETIC
20.65,22.0,4,0,SYNTHETIC
20.65,32.0,5,0,SYNTHETIC
20.65,61.0,6,1,SYNTHETIC
20.65,21.0,7,0,SYNTHETIC
20.65,24.0,8,0,SYNTHETIC
20.65,19.0,9,0,SYNTHETIC
20.65,22.0,10,0,SYNTHETIC
20.65,21.0,11,0,SYNTHETIC
20.65,18.0,12,0,SYNTHETIC
20.65,21.0,13,0,SYNTHETIC
20.65,20.0,14,0,SYNTHETIC
20.65,71.0,15,1,SYNTHETIC
20.65,24.0,16,0,SYNTHETIC
20.65,27.0,17,0,SYNTHETIC
20.65,14.0,18,0,SYNTHETIC
20.65,10.0,19,0,SYNTHETIC
20.65,16.0,20,0,SYNTHETIC
20.65,62.0,21,1,SYNTHETIC
20.65,8.0,22,0,SYNTHETIC
20.65,29.0,23,0,SYNTHETIC
28.56,29.0,0,0,SYNTHETIC
28.56,16.0,1,0,SYNTHETIC
28.56,28.0,2,0,SYNTHETIC
28.56,24.0,3,0,SYNTHETIC
28.56,31.0,4,0,SYNTHETIC
28.56,23.0,5,0,SYNTHETIC
28.56,32.0,6,0,SYNTHETIC
28.56,30.0,7,0,SYNTHETIC
28.56,36.0,8,0,SYNTHETIC
28.56,23.0,9,0,SYNTHETIC
28.56,26.0,10,0,SYNTHETIC
28.56,24.0,11,0,SYNTHETIC
28.56,37.0,12,0,SYNTHETIC
28.56,30.0,13,0,SYNTHETIC
28.56,29.0,14,0,SYNTHETIC
28.56,12.0,15,0,SYNTHETIC
28.56,33.0,16,0,SYNTHETIC
28.56,18.0,17,0,SYNTHETIC
28.56,26.0,18,0,SYNTHETIC
28.56,20.0,19,0,SYNTHETIC
28.56,32.0,20,0,SYNTHETIC
28.56,30.0,21,0,SYNTHETIC
28.56,22.0,22,0,SYNTHETIC
28.56,27.0,23,0,SYNTHETIC
26.65,24.0,0,0,SYNTHETIC
26.65,30.0,1,0,SYNTHETIC
26.65,25.0,2,0,SYNTHETIC
26.65,20.0,3,0,SYNTHETIC
26.65,39.0,4,0,SYNTHETIC
26.65,21.0,5,0,SYNTHETIC
26.65,90.0,6,1,SYNTHETIC
26.65,123.0,7,1,SYNTHETIC
26.65,39.0,8,0,SYNTHETIC
26.65,31.0,9,0,SYNTHETIC
26.65,15.0,10,0,SYNTHETIC
26.65,27.0,11,0,SYNTHETIC
26.65,35.0,12,0,SYNTHETIC
26.65,19.0,13,0,SYNTHETIC
26.65,16.0,14,0,SYNTHETIC
26.65,30.0,15,0,SYNTHETIC
26.65,25.0,16,0,SYNTHETIC
26.65,22.0,17,0,SYNTHETIC
26.65,32.0,18,0,SYNTHETIC
26.65,27.0,19,0,SYNTHETIC
26.65,40.0,20,0,SYNTHETIC
26.65,18.0,21,0,SYNTHETIC
26.65,26.0,22,0,SYNTHETIC
26.65,25.0,23,0,SYNTHETIC
39.13,35.0,0,0,SYNTHETIC
39.13,43.0,1,0,SYNTHETIC
39.13,38.0,2,0,SYNTHETIC
39.13,61.0,3,0,SYNTHETIC
39.13,69.0,4,0,SYNTHETIC
39.13,48.0,5,0,SYNTHETIC
39.13,38.0,6,0,SYNTHETIC
39.13,37.0,7,0,SYNTHETIC
39.13,38.0,8,0,SYNTHETIC
39.13,38.0,9,0,SYNTHETIC
39.13,27.0,10,0,SYNTHETIC
39.13,23.0,11,0,SYNTHETIC
39.13,30.0,12,0,SYNTHETIC
39.13,28.0,13,0,SYNTHETIC
39.13,41.0,14,0,SYNTHETIC
39.13,51.0,15,0,SYNTHETIC
39.13,39.0,16,0,SYNTHETIC
39.13,47.0,17,0,SYNTHETIC
39.13,22.0,18,0,SYNTHETIC
39.13,38.0,19,0,SYNTHETIC
39.13,51.0,20,0,SYNTHETIC
39.13,37.0,21,0,SYNTHETIC
39.13,48.0,22,0,SYNTHETIC
39.13,49.0,23,0,SYNTHETIC
24.46,35.0,0,0,SYNTHETIC
24.46,30.0,1,0,SYNTHETIC
24.46,30.0,2,0,SYNTHETIC
24.46,32.0,3,0,SYNTHETIC
24.46,25.0,4,0,SYNTHETIC
24.46,30.0,5,0,SYNTHETIC
24.46,35.0,6,0,SYNTHETIC
24.46,28.0,7,0,SYNTHETIC
24.46,26.0,8,0,SYNTHETIC
24.46,36.0,9,0,SYNTHETIC
24.46,17.0,10,0,SYNTHETIC
24.46,104.0,11,1,SYNTHETIC
24.46,27.0,12,0,SYNTHETIC
24.46,15.0,13,0,SYNTHETIC
24.46,24.0,14,0,SYNTHETIC
24.46,29.0,15,0,SYNTHETIC
24.46,24.0,16,0,SYNTHETIC
24.46,31.0,17,0,SYNTHETIC
24.46,18.0,18,0,SYNTHETIC
24.46,98.0,19,1,SYNTHETIC
24.46,21.0,20,0,SYNTHETIC
24.46,122.0,21,1,SYNTHETIC
24.46,18.0,22,0,SYNTHETIC
24.46,34.0,23,0,SYNTHETIC
14.68,14.0,0,0,SYNTHETIC
14.68,17.0,1,0,SYNTHETIC
14.68,13.0,2,0,SYNTHETIC
14.68,13.0,3,0,SYNTHETIC
14.68,16.0,4,0,SYNTHETIC
14.68,13.0,5,0,SYNTHETIC
14.68,14.0,6,0,SYNTHETIC
14.68,14.0,7,0,SYNTHETIC
14.68,15.0,8,0,SYNTHETIC
14.68,17.0,9,0,SYNTHETIC
14.68,13.0,10,0,SYNTHETIC
14.68,16.0,11,0,SYNTHETIC
14.68,18.0,12,0,SYNTHETIC
14.68,14.0,13,0,SYNTHETIC
14.68,6.0,14,0,SYNTHETIC
14.68,25.0,15,0,SYNTHETIC
14.68,10.0,16,0,SYNTHETIC
14.68,10.0,17,0,SYNTHETIC
14.68,16.0,18,0,SYNTHETIC
14.68,40.0,19,1,SYNTHETIC
14.68,11.0,20,0,SYNTHETIC
14.68,19.0,21,0,SYNTHETIC
14.68,16.0,22,0,SYNTHETIC
14.68,15.0,23,0,SYNTHETIC
34.87,55.0,0,0,SYNTHETIC
34.87,150.0,1,1,SYNTHETIC
34.87,27.0,2,0,SYNTHETIC
34.87,19.0,3,0,SYNTHETIC
34.87,40.0,4,0,SYNTHETIC
34.87,45.0,5,0,SYNTHETIC
34.87,33.0,6,0,SYNTHETIC
34.87,34.0,7,0,SYNTHETIC
34.87,38.0,8,0,SYNTHETIC
34.87,138.0,9,1,SYNTHETIC
34.87,49.0,10,0,SYNTHETIC
34.87,48.0,11,0,SYNTHETIC
34.87,27.0,12,0,SYNTHETIC
34.87,47.0,13,0,SYNTHETIC
34.87,37.0,14,0,SYNTHETIC
34.87,48.0,15,0,SYNTHETIC
34.87,30.0,16,0,SYNTHETIC
34.87,40.0,17,0,SYNTHETIC
34.87,37.0,18,0,SYNTHETIC
34.87,43.0,19,0,SYNTHETIC
34.87,26.0,20,0,SYNTHETIC
34.87,53.0,21,0,SYNTHETIC
34.87,39.0,22,0,SYNTHETIC
34.87,27.0,23,0,SYNTHETIC
19.79,12.0,0,0,SYNTHETIC
19.79,21.0,1,0,SYNTHETIC
19.79,18.0,2,0,SYNTHETIC
19.79,22.0,3,0,SYNTHETIC
19.79,21.0,4,0,SYNTHETIC
19.79,24.0,5,0,SYNTHETIC
19.79,20.0,6,0,SYNTHETIC
19.79,21.0,7,0,SYNTHETIC
19.79,81.0,8,1,SYNTHETIC
19.79,26.0,9,0,SYNTHETIC
19.79,13.0,10,0,SYNTHETIC
19.79,22.0,11,0,SYNTHETIC
19.79,17.0,12,0,SYNTHETIC
19.79,54.0,13,1,SYNTHETIC
19.79,66.0,14,1,SYNTHETIC
19.79,25.0,15,0,SYNTHETIC
19.79,16.0,16,0,SYNTHETIC
19.79,14.0,17,0,SYNTHETIC
19.79,15.0,18,0,SYNTHETIC
19.79,26.0,19,0,SYNTHETIC
19.79,30.0,20,0,SYNTHETIC
19.79,24.0,21,0,SYNTHETIC
19.79,30.0,22,0,SYNTHETIC
19.79,18.0,23,0,SYNTHETIC
14.39,14.0,0,0,SYNTHETIC
14.39,16.0,1,0,SYNTHETIC
14.39,13.0,2,0,SYNTHETIC
14.39,18.0,3,0,SYNTHETIC
14.39,13.0,4,0,SYNTHETIC
14.39,9.0,5,0,SYNTHETIC
14.39,17.0,6,0,SYNTHETIC
14.39,15.0,7,0,SYNTHETIC
14.39,3.0,8,0,SYNTHETIC
14.39,17.0,9,0,SYNTHETIC
14.39,14.0,10,0,SYNTHETIC
14.39,11.0,11,0,SYNTHETIC
14.39,22.0,12,0,SYNTHETIC
14.39,67.0,13,1,SYNTHETIC
14.39,15.0,14,0,SYNTHETIC
14.39,11.0,15,0,SYNTHETIC
14.39,39.0,16,1,SYNTHETIC
14.39,13.0,17,0,SYNTHETIC
14.39,17.0,18,0,SYNTHETIC
14.39,12.0,19,0,SYNTHETIC
14.39,15.0,20,0,SYNTHETIC
14.39,17.0,21,0,SYNTHETIC
14.39,11.0,22,0,SYNTHETIC
14.39,15.0,23,0,SYNTHETIC
32.67,32.0,0,0,SYNTHETIC
32.67,20.0,1,0,SYNTHETIC
32.67,38.0,2,0,SYNTHETIC
32.67,30.0,3,0,SYNTHETIC
32.67,34.0,4,0,SYNTHETIC
32.67,32.0,5,0,SYNTHETIC
32.67,36.0,6,0,SYNTHETIC
32.67,26.0,7,0,SYNTHETIC
32.67,39.0,8,0,SYNTHETIC
32.67,34.0,9,0,SYNTHETIC
32.67,157.0,10,1,SYNTHETIC
32.67,30.0,11,0,SYNTHETIC
32.67,46.0,12,0,SYNTHETIC
32.67,35.0,13,0,SYNTHETIC
32.67,29.0,14,0,SYNTHETIC
32.67,39.0,15,0,SYNTHETIC
32.67,45.0,16,0,SYNTHETIC
32.67,40.0,17,0,SYNTHETIC
32.67,42.0,18,0,SYNTHETIC
32.67,43.0,19,0,SYNTHETIC
32.67,45.0,20,0,SYNTHETIC
32.67,38.0,21,0,SYNTHETIC
32.67,39.0,22,0,SYNTHETIC
32.67,144.0,23,1,SYNTHETIC
39.0,46.0,0,0,SYNTHETIC
39.0,29.0,1,0,SYNTHETIC
39.0,41.0,2,0,SYNTHETIC
39.0,45.0,3,0,SYNTHETIC
39.0,43.0,4,0,SYNTHETIC
39.0,34.0,5,0,SYNTHETIC
39.0,28.0,6,0,SYNTHETIC
39.0,41.0,7,0,SYNTHETIC
39.0,45.0,8,0,SYNTHETIC
39.0,44.0,9,0,SYNTHETIC
39.0,18.0,10,0,SYNTHETIC
39.0,61.0,11,0,SYNTHETIC
39.0,40.0,12,0,SYNTHETIC
39.0,54.0,13,0,SYNTHETIC
39.0,41.0,14,0,SYNTHETIC
39.0,38.0,15,0,SYNTHETIC
39.0,26.0,16,0,SYNTHETIC
39.0,48.0,17,0,SYNTHETIC
39.0,47.0,18,0,SYNTHETIC
39.0,46.0,19,0,SYNTHETIC
39.0,40.0,20,0,SYNTHETIC
39.0,45.0,21,0,SYNTHETIC
39.0,50.0,22,0,SYNTHETIC
39.0,31.0,23,0,SYNTHETIC
19.18,24.0,0,0,SYNTHETIC
19.18,16.0,1,0,SYNTHETIC
19.18,19.0,2,0,SYNTHETIC
19.18,23.0,3,0,SYNTHETIC
19.18,19.0,4,0,SYNTHETIC
19.18,13.0,5,0,SYNTHETIC
19.18,15.0,6,0,SYNTHETIC
19.18,19.0,7,0,SYNTHETIC
19.18,8.0,8,0,SYNTHETIC
19.18,80.0,9,1,SYNTHETIC
19.18,27.0,10,0,SYNTHETIC
19.18,21.0,11,0,SYNTHETIC
19.18,23.0,12,0,SYNTHETIC
19.18,23.0,13,0,SYNTHETIC
19.18,22.0,14,0,SYNTHETIC
19.18,25.0,15,0,SYNTHETIC
19.18,16.0,16,0,SYNTHETIC
19.18,17.0,17,0,SYNTHETIC
19.18,16.0,18,0,SYNTHETIC
19.18,21.0,19,0,SYNTHETIC
19.18,23.0,20,0,SYNTHETIC
19.18,26.0,21,0,SYNTHETIC
19.18,21.0,22,0,SYNTHETIC
19.18,28.0,23,0,SYNTHETIC
19.46,14.0,0,0,SYNTHETIC
19.46,27.0,1,0,SYNTHETIC
19.46,16.0,2,0,SYNTHETIC
19.46,23.0,3,0,SYNTHETIC
19.46,27.0,4,0,SYNTHETIC
19.46,20.0,5,0,SYNTHETIC
19.46,19.0,6,0,SYNTHETIC
19.46,15.0,7,0,SYNTHETIC
19.46,23.0,8,0,SYNTHETIC
19.46,30.0,9,0,SYNTHETIC
19.46,24.0,10,0,SYNTHETIC
19.46,25.0,11,0,SYNTHETIC
19.46,19.0,12,0,SYNTHETIC
19.46,20.0,13,0,SYNTHETIC
19.46,19.0,14,0,SYNTHETIC
19.46,18.0,15,0,SYNTHETIC
19.46,20.0,16,0,SYNTHETIC
19.46,26.0,17,0,SYNTHETIC
19.46,14.0,18,0,SYNTHETIC
19.46,23.0,19,0,SYNTHETIC
19.46,13.0,20,0,SYNTHETIC
19.46,19.0,21,0,SYNTHETIC
19.46,23.0,22,0,SYNTHETIC
19.46,25.0,23,0,SYNTHETIC
39.32,62.0,0,0,SYNTHETIC
39.32,57.0,1,0,SYNTHETIC
39.32,38.0,2,0,SYNTHETIC
39.32,30.0,3,0,SYNTHETIC
39.32,47.0,4,0,SYNTHETIC
39.32,44.0,5,0,SYNTHETIC
39.32,34.0,6,0,SYNTHETIC
39.32,51.0,7,0,SYNTHETIC
39.32,130.0,8,1,SYNTHETIC
39.32,23.0,9,0,SYNTHETIC
39.32,36.0,10,0,SYNTHETIC
39.32,36.0,11,0,SYNTHETIC
39.32,28.0,12,0,SYNTHETIC
39.32,38.0,13,0,SYNTHETIC
39.32,15.0,14,0,SYNTHETIC
39.32,57.0,15,0,SYNTHETIC
39.32,42.0,16,0,SYNTHETIC
39.32,29.0,17,0,SYNTHETIC
39.32,40.0,18,0,SYNTHETIC
39.32,116.0,19,1,SYNTHETIC
39.32,46.0,20,0,SYNTHETIC
39.32,34.0,21,0,SYNTHETIC
39.32,33.0,22,0,SYNTHETIC
39.32,30.0,23,0,SYNTHETIC
29.99,37.0,0,0,SYNTHETIC
29.99,25.0,1,0,SYNTHETIC
29.99,25.0,2,0,SYNTHETIC
29.99,21.0,3,0,SYNTHETIC
29.99,28.0,4,0,SYNTHETIC
29.99,21.0,5,0,SYNTHETIC
29.99,30.0,6,0,SYNTHETIC
29.99,32.0,7,0,SYNTHETIC
29.99,30.0,8,0,SYNTHETIC
29.99,38.0,9,0,SYNTHETIC
29.99,25.0,10,0,SYNTHETIC
29.99,31.0,11,0,SYNTHETIC
29.99,28.0,12,0,SYNTHETIC
29.99,31.0,13,0,SYNTHETIC
29.99,24.0,14,0,SYNTHETIC
29.99,32.0,15,0,SYNTHETIC
29.99,34.0,16,0,SYNTHETIC
29.99,36.0,17,0,SYNTHETIC
29.99,26.0,18,0,SYNTHETIC
29.99,20.0,19,0,SYNTHETIC
29.99,20.0,20,0,SYNTHETIC
29.99,125.0,21,1,SYNTHETIC
29.99,31.0,22,0,SYNTHETIC
29.99,29.0,23,0,SYNTHETIC
35.4,35.0,0,0,SYNTHETIC
35.4,24.0,1,0,SYNTHETIC
35.4,33.0,2,0,SYNTHETIC
35.4,24.0,3,0,SYNTHETIC
35.4,30.0,4,0,SYNTHETIC
35.4,30.0,5,0,SYNTHETIC
35.4,41.0,6,0,SYNTHETIC
35.4,24.0,7,0,SYNTHETIC
35.4,24.0,8,0,SYNTHETIC
35.4,41.0,9,0,SYNTHETIC
35.4,47.0,10,0,SYNTHETIC
35.4,46.0,11,0,SYNTHETIC
35.4,18.0,12,0,SYNTHETIC
35.4,46.0,13,0,SYNTHETIC
35.4,39.0,14,0,SYNTHETIC
35.4,23.0,15,0,SYNTHETIC
35.4,23.0,16,0,SYNTHETIC
35.4,25.0,17,0,SYNTHETIC
35.4,116.0,18,1,SYNTHETIC
35.4,24.0,19,0,SYNTHETIC
35.4,51.0,20,0,SYNTHETIC
35.4,22.0,21,0,SYNTHETIC
35.4,19.0,22,0,SYNTHETIC
35.4,16.0,23,0,SYNTHETIC
18.16,15.0,0,0,SYNTHETIC
18.16,14.0,1,0,SYNTHETIC
18.16,49.0,2,1,SYNTHETIC
18.16,21.0,3,0,SYNTHETIC
18.16,20.0,4,0,SYNTHETIC
18.16,16.0,5,0,SYNTHETIC
18.16,12.0,6,0,SYNTHETIC
18.16,10.0,7,0,SYNTHETIC
18.16,20.0,8,0,SYNTHETIC
18.16,11.0,9,0,SYNTHETIC
18.16,13.0,10,0,SYNTHETIC
18.16,76.0,11,1,SYNTHETIC
18.16,14.0,12,0,SYNTHETIC
18.16,19.0,13,0,SYNTHETIC
18.16,18.0,14,0,SYNTHETIC
18.16,25.0,15,0,SYNTHETIC
18.16,25.0,16,0,SYNTHETIC
18.16,15.0,17,0,SYNTHETIC
18.16,21.0,18,0,SYNTHETIC
18.16,29.0,19,0,SYNTHETIC
18.16,22.0,20,0,SYNTHETIC
18.16,17.0,21,0,SYNTHETIC
18.16,23.0,22,0,SYNTHETIC
18.16,16.0,23,0,SYNTHETIC
35.29,34.0,0,0,SYNTHETIC
35.29,23.0,1,0,SYNTHETIC
35.29,33.0,2,0,SYNTHETIC
35.29,20.0,3,0,SYNTHETIC
35.29,24.0,4,0,SYNTHETIC
35.29,27.0,5,0,SYNTHETIC
35.29,29.0,6,0,SYNTHETIC
35.29,25.0,7,0,SYNTHETIC
35.29,40.0,8,0,SYNTHETIC
35.29,40.0,9,0,SYNTHETIC
35.29,31.0,10,0,SYNTHETIC
35.29,31.0,11,0,SYNTHETIC
35.29,40.0,12,0,SYNTHETIC
35.29,27.0,13,0,SYNTHETIC
35.29,31.0,14,0,SYNTHETIC
35.29,28.0,15,0,SYNTHETIC
35.29,25.0,16,0,SYNTHETIC
35.29,40.0,17,0,SYNTHETIC
35.29,26.0,18,0,SYNTHETIC
35.29,14.0,19,0,SYNTHETIC
35.29,40.0,20,0,SYNTHETIC
35.29,35.0,21,0,SYNTHETIC
35.29,48.0,22,0,SYNTHETIC
35.29,26.0,23,0,SYNTHETIC
17.88,18.0,0,0,SYNTHETIC
17.88,25.0,1,0,SYNTHETIC
17.88,22.0,2,0,SYNTHETIC
17.88,19.0,3,0,SYNTHETIC
17.88,16.0,4,0,SYNTHETIC
17.88,12.0,5,0,SYNTHETIC
17.88,19.0,6,0,SYNTHETIC
17.88,22.0,7,0,SYNTHETIC
17.88,16.0,8,0,SYNTHETIC
17.88,8.0,9,0,SYNTHETIC
17.88,12.0,10,0,SYNTHETIC
17.88,28.0,11,0,SYNTHETIC
17.88,13.0,12,0,SYNTHETIC
17.88,18.0,13,0,SYNTHETIC
17.88,10.0,14,0,SYNTHETIC
17.88,17.0,15,0,SYNTHETIC
17.88,22.0,16,0,SYNTHETIC
17.88,18.0,17,0,SYNTHETIC
17.88,21.0,18,0,SYNTHETIC
17.88,21.0,19,0,SYNTHETIC
17.88,18.0,20,0,SYNTHETIC
17.88,19.0,21,0,SYNTHETIC
17.88,15.0,22,0,SYNTHETIC
17.88,17.0,23,0,SYNTHETIC
24.54,15.0,0,0,SYNTHETIC
24.54,18.0,1,0,SYNTHETIC
24.54,26.0,2,0,SYNTHETIC
24.54,30.0,3,0,SYNTHETIC
24.54,27.0,4,0,SYNTHETIC
24.54,18.0,5,0,SYNTHETIC
24.54,28.0,6,0,SYNTHETIC
24.54,36.0,7,0,SYNTHETIC
